127.0.0.1 - - [19/Feb/2017:01:27:54 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [19/Feb/2017:01:27:57 +0530] "GET /AtYourHome/ HTTP/1.1" 200 4102
0:0:0:0:0:0:0:1 - - [19/Feb/2017:01:27:57 +0530] "GET /AtYourHome/css/fonts.css HTTP/1.1" 200 20448
0:0:0:0:0:0:0:1 - - [19/Feb/2017:01:27:57 +0530] "GET /AtYourHome/css/default.css HTTP/1.1" 200 11063
0:0:0:0:0:0:0:1 - - [19/Feb/2017:01:27:57 +0530] "GET /AtYourHome/images/pic02.jpg HTTP/1.1" 200 42133
0:0:0:0:0:0:0:1 - - [19/Feb/2017:01:27:57 +0530] "GET /AtYourHome/images/pic03.jpg HTTP/1.1" 200 30630
0:0:0:0:0:0:0:1 - - [19/Feb/2017:01:27:57 +0530] "GET /AtYourHome/images/pic01.jpg HTTP/1.1" 200 40019
0:0:0:0:0:0:0:1 - - [19/Feb/2017:01:27:58 +0530] "GET /AtYourHome/css/images/AYH1.jpg HTTP/1.1" 200 511380
0:0:0:0:0:0:0:1 - - [19/Feb/2017:01:28:53 +0530] "GET /AtYourHome/ HTTP/1.1" 200 4102
0:0:0:0:0:0:0:1 - - [19/Feb/2017:01:28:53 +0530] "GET /AtYourHome/css/default.css HTTP/1.1" 200 11063
0:0:0:0:0:0:0:1 - - [19/Feb/2017:01:28:53 +0530] "GET /AtYourHome/css/fonts.css HTTP/1.1" 200 20448
0:0:0:0:0:0:0:1 - - [19/Feb/2017:01:28:53 +0530] "GET /AtYourHome/images/pic01.jpg HTTP/1.1" 200 40019
0:0:0:0:0:0:0:1 - - [19/Feb/2017:01:28:53 +0530] "GET /AtYourHome/images/pic02.jpg HTTP/1.1" 200 42133
0:0:0:0:0:0:0:1 - - [19/Feb/2017:01:28:53 +0530] "GET /AtYourHome/images/pic03.jpg HTTP/1.1" 200 30630
0:0:0:0:0:0:0:1 - - [19/Feb/2017:01:28:58 +0530] "GET /AtYourHome/css/images/AYH1.jpg HTTP/1.1" 200 511380
0:0:0:0:0:0:0:1 - - [19/Feb/2017:01:28:58 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [19/Feb/2017:01:29:06 +0530] "GET /AtYourHome/userlogin.html HTTP/1.1" 200 3233
0:0:0:0:0:0:0:1 - - [19/Feb/2017:01:29:06 +0530] "GET /AtYourHome/css/demo.css HTTP/1.1" 200 3608
0:0:0:0:0:0:0:1 - - [19/Feb/2017:01:29:06 +0530] "GET /AtYourHome/css/style.css HTTP/1.1" 200 11411
0:0:0:0:0:0:0:1 - - [19/Feb/2017:01:29:06 +0530] "GET /AtYourHome/css/animate-custom.css HTTP/1.1" 200 74079
0:0:0:0:0:0:0:1 - - [19/Feb/2017:01:29:06 +0530] "GET /AtYourHome/css/fonts/BebasNeue-webfont.woff HTTP/1.1" 200 11632
0:0:0:0:0:0:0:1 - - [19/Feb/2017:01:29:06 +0530] "GET /AtYourHome/images/bg.jpg HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [19/Feb/2017:01:29:06 +0530] "GET /AtYourHome/css/fonts/franchise-bold-webfont.woff HTTP/1.1" 200 14972
0:0:0:0:0:0:0:1 - - [19/Feb/2017:01:29:06 +0530] "GET /AtYourHome/css/fonts/fontomas-webfont.woff HTTP/1.1" 200 2280
